"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 15 01:46:01 UTC 2024","Sat Jun 15 01:52:36 UTC 2024","395007","tests.integration","test_subordinates","","","","test_scale_up",""
"passed","Sat Jun 15 01:50:14 UTC 2024","Sat Jun 15 01:51:55 UTC 2024","101048","tests.integration.new_relations","test_new_relations","","","","test_two_applications_doesnt_share_the_same_relation_data","Test that two different application connect to the database with different credentials."
"passed","Sat Jun 15 01:52:59 UTC 2024","Sat Jun 15 01:53:23 UTC 2024","24141","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_request_multiple_databases","Test that an application can request additional databases using the same interface."
"failed","Sat Jun 15 02:28:21 UTC 2024","Sat Jun 15 02:33:22 UTC 2024","301479","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[postgres]",""
"passed","Sat Jun 15 01:50:10 UTC 2024","Sat Jun 15 01:50:14 UTC 2024","3845","tests.integration.new_relations","test_new_relations","","","","test_database_relation_with_charm_libraries","Test basic functionality of database relation interface."
"skipped","Sat Jun 15 02:28:24 UTC 2024","Sat Jun 15 02:28:24 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_switchover","Test switching over to the second cluster."
"passed","Sat Jun 15 02:37:39 UTC 2024","Sat Jun 15 02:53:19 UTC 2024","940105","tests.integration","test_backups","","","","test_restore_on_new_cluster","Test that is possible to restore a backup to another PostgreSQL cluster."
"passed","Sat Jun 15 01:33:07 UTC 2024","Sat Jun 15 01:47:17 UTC 2024","850730","tests.integration","test_password_rotation","","","","test_deploy_active","Build the charm and deploy it."
"failed","Sat Jun 15 02:59:08 UTC 2024","Sat Jun 15 03:04:22 UTC 2024","313945","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Sat Jun 15 01:38:53 UTC 2024","Sat Jun 15 01:48:22 UTC 2024","569236","tests.integration.ha_tests","test_smoke","","","","test_charm_garbage_ignorance","Test charm deploy in dirty environment with garbage storage."
"failed","Sat Jun 15 03:20:11 UTC 2024","Sat Jun 15 03:25:23 UTC 2024","312441","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"failed","Sat Jun 15 02:38:23 UTC 2024","Sat Jun 15 02:43:25 UTC 2024","302204","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"passed","Sat Jun 15 01:59:19 UTC 2024","Sat Jun 15 01:59:51 UTC 2024","31890","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[postgres]",""
"passed","Sat Jun 15 01:44:31 UTC 2024","Sat Jun 15 01:44:31 UTC 2024","3","tests.integration","test_charm","","","","test_database_is_up[1]",""
"passed","Sat Jun 15 01:32:53 UTC 2024","Sat Jun 15 01:46:11 UTC 2024","797522","tests.integration","test_plugins","","","","test_plugins","Build and deploy one unit of PostgreSQL and then test the available plugins."
