"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","test_interruption_db_process[SIGTERM-postgres]","tests.integration.ha_tests","","unknown","","","test_self_healing","",""
"Test that relation data, like connection data, is updated correctly when scaling.","587672","test_relation_data_is_updated_correctly_when_scaling","tests.integration.new_relations","2025-12-28","passed","2025-12-28","","test_new_relations_1","",""
"Test application deploy in dirty environment with garbage storage from another application.","1010451","test_app_resources_conflicts_v3","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_smoke","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","269083","test_restore_on_new_cluster","tests.integration","2025-12-28","passed","2025-12-28","","test_backups_gcp","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","","unknown","","","test_self_healing","",""
"Deploy Landscape Scalable Bundle to test the 'db-admin' relation.","1438667","test_landscape_scalable_bundle_db","tests.integration","2025-12-28","passed","2025-12-28","","test_db_admin","",""
"Build the charm and deploy it.","281566","test_deploy_active","tests.integration","2025-12-28","passed","2025-12-28","","test_password_rotation","",""
"","394492","test_pg_hba","tests.integration","2025-12-28","passed","2025-12-28","","test_pg_hba","",""
"","317756","test_scale_to_five_units","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling","",""
"Build and deploy two PostgreSQL clusters.","333277","test_build_and_deploy","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling_three_units_async","",""
"","2030","test_data_integrator_creds_keep_on_working","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_async_replication","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","278671","test_plugins","tests.integration","2025-12-28","passed","2025-12-28","","test_plugins","",""
"Build and deploy two PostgreSQL clusters.","407917","test_build_and_deploy","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_restore_cluster","",""
"","274851","test_removing_unit[roles0]","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling_three_units","",""
"","5011","test_block_on_missing_region","tests.integration","2025-12-28","passed","2025-12-28","","test_backups_gcp","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","341890","test_deploy_stable","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_upgrade_from_stable","",""
"Test async replication between two PostgreSQL clusters.","248208","test_async_replication","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_async_replication","",""
"","867086","test_removing_unit[roles2]","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling_three_units","",""
"Deploy both charms (application and database) to use in the tests.","328371","test_deploy_charms","tests.integration.new_relations","2025-12-28","passed","2025-12-28","","test_new_relations_1","",""
"Test that TLS is enabled when relating to the TLS Certificates Operator.","574513","test_tls_enabled","tests.integration","2025-12-28","passed","2025-12-28","","test_tls","",""
"Test that check relation data.","332902","test_relations","tests.integration.new_relations","2025-12-28","passed","2025-12-28","","test_relations_coherence","",""
"","280534","test_removing_unit[roles1]","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling_three_units_async","",""
"","259146","test_removing_unit[roles2]","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling_three_units_async","",""
"","4","test_database_is_up[1]","tests.integration","2025-12-28","passed","2025-12-28","","test_charm","",""
"","","test_interruption_db_process[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","","unknown","","","test_self_healing","",""
"Test that two different application connect to the database with different credentials.","100267","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","2025-12-28","passed","2025-12-28","","test_new_relations_1","",""
"Test that a relation with no database name doesn't block the charm.","69724","test_relation_with_no_database_name","tests.integration.new_relations","2025-12-28","passed","2025-12-28","","test_new_relations_1","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","","test_full_cluster_restart[SIGKILL-postgres]","tests.integration.ha_tests","","unknown","","","test_self_healing","",""
"Test that an application can connect to different clusters of the same database.","95067","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.new_relations","2025-12-28","passed","2025-12-28","","test_new_relations_1","",""
"Test updating from stable channel.","275117","test_upgrade_from_stable","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_upgrade_from_stable","",""
"","45586","test_majority","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_synchronous_policy","",""
"","2043","test_settings_are_correct[0]","tests.integration","2025-12-28","passed","2025-12-28","","test_charm","",""
"","100509","test_fail_and_rollback","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_upgrade","",""
"Test that the relation can be broken and re-established.","219003","test_reestablish_relation","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_async_replication","",""
"","317777","test_deploy","tests.integration","2025-12-28","passed","2025-12-28","","test_subordinates","",""
"Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    ","1401","test_password_from_secret_same_as_cli","tests.integration","2025-12-28","passed","2025-12-28","","test_password_rotation","",""
"","533665","test_removing_raft_majority","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling","",""
"","253488","test_removing_unit[roles1]","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling_three_units","",""
"","3","test_database_is_up[2]","tests.integration","2025-12-28","passed","2025-12-28","","test_charm","",""
"","269825","test_scale_up","tests.integration","2025-12-28","passed","2025-12-28","","test_subordinates","",""
"Test promoting the standby cluster.","187465","test_promote_standby","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_async_replication","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","","unknown","","","test_self_healing","",""
"Build, deploy two units of PostgreSQL and do backup in GCP. Then, write new data into DB, switch WAL file and test point-in-time-recovery restore action.","1477947","test_pitr_backup_gcp","tests.integration","2025-12-28","passed","2025-12-28","","test_backups_pitr_gcp","",""
"Remove unit with force while storage is alive.","135394","test_app_force_removal","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_smoke","",""
"","61342","test_constant","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_synchronous_policy","",""
"Test wal_compression configuration parameter.","49507","test_wal_compression_config","tests.integration","2025-12-28","passed","2025-12-28","","test_config","",""
"","271216","test_removing_unit[roles0]","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling_three_units_async","",""
"Build and deploy two units of PostgreSQL in AWS, test backup and restore actions.","1021091","test_backup_aws","tests.integration","2025-12-28","passed","2025-12-28","","test_backups_aws","",""
"","59","test_exporter_is_up[0]","tests.integration","2025-12-28","passed","2025-12-28","","test_charm","",""
"","316","test_postgresql_locales","tests.integration","2025-12-28","passed","2025-12-28","","test_charm","",""
"Build and deploy three unit of PostgreSQL.","","test_build_and_deploy","tests.integration.ha_tests","","unknown","","","test_self_healing","",""
"","99393","test_filter_out_degraded_replicas","tests.integration.new_relations","2025-12-28","passed","2025-12-28","","test_new_relations_1","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","2025-12-28","skipped","2025-12-28","","test_new_relations_2","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","2025-12-28","skipped","2025-12-28","","test_db","",""
"Test that async replication fails back correctly.","63123","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_async_replication","",""
"Test that relation data, like connection data, is updated correctly when scaling.","430087","test_relation_data_is_updated_correctly_when_scaling","tests.integration","2025-12-28","failed","2025-12-28","","test_db","",""
"","864615","test_removing_unit[roles3]","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling_three_units_async","",""
"","","test_interruption_db_process[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","","unknown","","","test_self_healing","",""
"Test that an application can request additional databases using the same interface.","61288","test_an_application_can_request_multiple_databases","tests.integration.new_relations","2025-12-28","passed","2025-12-28","","test_new_relations_1","",""
"Build and deploy two PostgreSQL clusters.","348923","test_build_and_deploy","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling_three_units","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","","test_storage_re_use","tests.integration.ha_tests","","unknown","","","test_self_healing","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","576273","test_deploy_async_replication_setup","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_async_replication","",""
"Build and deploy two units of PostgreSQL in GCP, test backup and restore actions.","837023","test_backup_gcp","tests.integration","2025-12-28","passed","2025-12-28","","test_backups_gcp","",""
"Test data persists through a primary deletion.","178590","test_persist_data_through_primary_deletion","tests.integration","2025-12-28","passed","2025-12-28","","test_charm","",""
"Test worker process configuration parameters are applied correctly.","48102","test_worker_process_configs","tests.integration","2025-12-28","passed","2025-12-28","","test_config","",""
"Test that async replication works when scaling the clusters.","429077","test_scaling","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_async_replication","",""
"Test that passwords don't get exposed on postgresql logs.","634","test_no_password_exposed_on_logs","tests.integration","2025-12-28","passed","2025-12-28","","test_password_rotation","",""
"Test the audit plugin.","238773","test_audit_plugin","tests.integration","2025-12-28","passed","2025-12-28","","test_audit","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","","test_network_cut_without_ip_change","tests.integration.ha_tests","","unknown","","","test_self_healing","",""
"Test that user can't connect with empty password.","1023","test_db_connection_with_empty_password","tests.integration","2025-12-28","passed","2025-12-28","","test_password_rotation","",""
"Build and deploy two PostgreSQL clusters.","292060","test_build_and_deploy","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_scaling","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","168266","test_config_parameters","tests.integration","2025-12-28","passed","2025-12-28","","test_config","",""
"Test that the password can't be set to an empty string.","10235","test_empty_password","tests.integration","2025-12-28","passed","2025-12-28","","test_password_rotation","",""
"Build and deploy two PostgreSQL clusters.","288268","test_build_and_deploy","tests.integration.ha_tests","2025-12-28","passed","2025-12-28","","test_synchronous_policy","",""
"","0","test_roles_blocking","tests.integration","2025-12-28","skipped","2025-12-28","","test_db","",""
