"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 13 01:58:08 UTC 2024","Thu Jun 13 02:12:16 UTC 2024","847943","tests.integration","test_config","","","","test_config_parameters","Build and deploy one unit of PostgreSQL and then test config with wrong parameters."
"passed","Thu Jun 13 02:42:41 UTC 2024","Thu Jun 13 02:47:49 UTC 2024","308213","tests.integration","test_db","","","","test_roles_blocking",""
"passed","Thu Jun 13 01:49:20 UTC 2024","Thu Jun 13 02:05:36 UTC 2024","975399","tests.integration.ha_tests","test_restore_cluster","","","","test_build_and_deploy","Build and deploy two PostgreSQL clusters."
"passed","Thu Jun 13 01:53:49 UTC 2024","Thu Jun 13 02:00:52 UTC 2024","423072","tests.integration.ha_tests","test_smoke","","","","test_app_force_removal","Remove unit with force while storage is alive."
"broken","Thu Jun 13 01:47:56 UTC 2024","Thu Jun 13 02:13:01 UTC 2024","1504211","tests.integration.ha_tests","test_upgrade","","","","test_deploy_latest","Simple test to ensure that the PostgreSQL and application charms get deployed."
"skipped","Thu Jun 13 02:12:50 UTC 2024","Thu Jun 13 02:12:50 UTC 2024","0","tests.integration","test_password_rotation","","","","test_empty_password","Test that the password can't be set to an empty string."
"passed","Thu Jun 13 01:58:18 UTC 2024","Thu Jun 13 02:12:42 UTC 2024","863337","tests.integration","test_plugins","","","","test_plugins","Build and deploy one unit of PostgreSQL and then test the available plugins."
"skipped","Thu Jun 13 02:27:57 UTC 2024","Thu Jun 13 02:27:57 UTC 2024","0","tests.integration","test_backups","","","","test_restore_on_new_cluster","Test that is possible to restore a backup to another PostgreSQL cluster."
"passed","Thu Jun 13 02:32:44 UTC 2024","Thu Jun 13 02:41:42 UTC 2024","537224","tests.integration.ha_tests","test_async_replication","","","","test_reestablish_relation","Test that the relation can be broken and re-established."
"passed","Thu Jun 13 02:20:25 UTC 2024","Thu Jun 13 02:21:45 UTC 2024","80636","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"skipped","Thu Jun 13 02:47:49 UTC 2024","Thu Jun 13 02:47:49 UTC 2024","0","tests.integration","test_db","","","","test_canonical_livepatch_onprem_bundle_db",""
"passed","Thu Jun 13 02:26:17 UTC 2024","Thu Jun 13 02:27:07 UTC 2024","49679","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[postgres]",""
"unknown","","","","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_upgrade_from_stable","Test updating from stable channel."
"skipped","Thu Jun 13 02:43:44 UTC 2024","Thu Jun 13 02:43:44 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_scaling","Test that async replication works when scaling the clusters."
"passed","Thu Jun 13 02:02:21 UTC 2024","Thu Jun 13 02:04:01 UTC 2024","99950","tests.integration.relations","test_relations","","","","test_modern_endpoint_with_multiple_related_endpoints",""
"unknown","","","","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Thu Jun 13 02:12:42 UTC 2024","Thu Jun 13 02:29:34 UTC 2024","1012678","tests.integration.ha_tests","test_smoke","","","","test_app_resources_conflicts_v3","Test application deploy in dirty environment with garbage storage from another application."
"skipped","Thu Jun 13 02:13:01 UTC 2024","Thu Jun 13 02:13:01 UTC 2024","0","tests.integration.ha_tests","test_upgrade","","","","test_fail_and_rollback",""
"broken","Thu Jun 13 03:12:33 UTC 2024","Thu Jun 13 03:16:05 UTC 2024","212204","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Thu Jun 13 02:21:43 UTC 2024","Thu Jun 13 02:32:03 UTC 2024","620179","tests.integration.new_relations","test_new_relations","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"passed","Thu Jun 13 01:48:49 UTC 2024","Thu Jun 13 02:12:05 UTC 2024","1396506","tests.integration.ha_tests","test_self_healing","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"passed","Thu Jun 13 02:38:03 UTC 2024","Thu Jun 13 02:41:34 UTC 2024","210249","tests.integration.new_relations","test_new_relations","","","","test_invalid_extra_user_roles",""
"passed","Thu Jun 13 02:00:18 UTC 2024","Thu Jun 13 02:02:21 UTC 2024","123564","tests.integration.relations","test_relations","","","","test_legacy_endpoint_with_multiple_related_endpoints",""
"broken","Thu Jun 13 01:47:43 UTC 2024","Thu Jun 13 02:12:50 UTC 2024","1507137","tests.integration","test_password_rotation","","","","test_deploy_active","Build the charm and deploy it."
"skipped","Thu Jun 13 02:13:01 UTC 2024","Thu Jun 13 02:13:01 UTC 2024","0","tests.integration.ha_tests","test_upgrade","","","","test_upgrade_from_edge",""
"unknown","","","","tests.integration","test_charm","","","","test_persist_data_through_primary_deletion","Test data persists through a primary deletion."
"unknown","","","","tests.integration","test_tls","","","","test_deploy_active","Build the charm and deploy it."
"passed","Thu Jun 13 01:56:55 UTC 2024","Thu Jun 13 02:11:37 UTC 2024","881572","tests.integration.ha_tests","test_replication","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"failed","Thu Jun 13 03:10:23 UTC 2024","Thu Jun 13 03:11:29 UTC 2024","65443","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Thu Jun 13 02:10:34 UTC 2024","Thu Jun 13 02:11:03 UTC 2024","28537","tests.integration.new_relations","test_new_relations","","","","test_no_read_only_endpoint_in_standalone_cluster","Test that there is no read-only endpoint in a standalone cluster."
"unknown","","","","tests.integration","test_subordinates","","","","test_deploy",""
